Timestamp, ProcCount, CPU_Total (%), Memory_Total (MB), Voltage (V), PIDs
2025-09-17 13:32:20, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8373 8375"
2025-09-17 13:32:21, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8397 8399"
2025-09-17 13:32:22, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8422 8424"
2025-09-17 13:32:22, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8447 8449"
2025-09-17 13:32:23, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8480 8482"
2025-09-17 13:32:24, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8505 8507"
2025-09-17 13:32:25, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8530 8532"
2025-09-17 13:32:25, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8555 8557"
2025-09-17 13:32:26, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8580 8582"
2025-09-17 13:32:27, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8605 8607"
2025-09-17 13:32:28, 5, 6.70, 46.72, 0.9360, "8349 8350 8351 8630 8632"
2025-09-17 13:32:28, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8655 8657"
2025-09-17 13:32:29, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8680 8682"
2025-09-17 13:32:30, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8705 8707"
2025-09-17 13:32:31, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8730 8732"
2025-09-17 13:32:31, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8755 8757"
2025-09-17 13:32:32, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8780 8782"
2025-09-17 13:32:33, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8805 8807"
2025-09-17 13:32:33, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8830 8832"
2025-09-17 13:32:34, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8855 8857"
2025-09-17 13:32:35, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8880 8882"
2025-09-17 13:32:36, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8905 8907"
2025-09-17 13:32:36, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8930 8932"
2025-09-17 13:32:37, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8955 8957"
2025-09-17 13:32:38, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 8980 8982"
2025-09-17 13:32:39, 5, 0.00, 46.72, 0.8700, "8349 8350 8351 9005 9007"
2025-09-17 13:32:39, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 9030 9032"
2025-09-17 13:32:40, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 9055 9057"
2025-09-17 13:32:41, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 9080 9082"
2025-09-17 13:32:42, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 9105 9107"
2025-09-17 13:32:42, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 9130 9132"
2025-09-17 13:32:43, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 9155 9157"
2025-09-17 13:32:44, 5, 0.00, 46.72, 0.8700, "8349 8350 8351 9180 9182"
2025-09-17 13:32:45, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 9205 9207"
2025-09-17 13:32:45, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 9230 9232"
2025-09-17 13:32:46, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 9255 9257"
2025-09-17 13:32:47, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 9280 9282"
2025-09-17 13:32:48, 5, 6.70, 46.72, 0.9360, "8349 8350 8351 9305 9307"
2025-09-17 13:32:48, 5, 0.00, 46.72, 0.9360, "8349 8350 8351 9330 9332"
2025-09-17 13:32:49, 5, 218.80, 109.97, 0.9360, "8349 8350 8351 9355 9357"
2025-09-17 13:32:50, 5, 140.00, 114.47, 0.9360, "8349 8350 8351 9380 9382"
2025-09-17 13:32:51, 5, 131.20, 114.85, 0.9360, "8349 8350 8351 9405 9407"
2025-09-17 13:32:51, 5, 131.20, 114.85, 0.9360, "8349 8350 8351 9430 9432"
2025-09-17 13:32:52, 5, 137.50, 114.85, 0.9360, "8349 8350 8351 9455 9457"
2025-09-17 13:32:53, 5, 131.20, 114.85, 0.9360, "8349 8350 8351 9480 9482"
2025-09-17 13:32:54, 5, 125.00, 114.85, 0.9360, "8349 8350 8351 9505 9507"
2025-09-17 13:32:55, 5, 140.00, 114.85, 0.9360, "8349 8350 8351 9530 9532"
2025-09-17 13:32:55, 5, 146.70, 115.10, 0.9360, "8349 8350 8351 9555 9557"
2025-09-17 13:32:56, 5, 137.50, 115.10, 0.9360, "8349 8350 8351 9580 9582"
2025-09-17 13:32:57, 5, 137.50, 115.10, 0.9360, "8349 8350 8351 9605 9607"
2025-09-17 13:32:58, 5, 140.00, 115.10, 0.9360, "8349 8350 8351 9630 9632"
2025-09-17 13:32:58, 5, 131.20, 115.10, 0.9360, "8349 8350 8351 9655 9657"
2025-09-17 13:32:59, 5, 140.00, 115.10, 0.9360, "8349 8350 8351 9680 9682"
2025-09-17 13:33:00, 5, 140.00, 115.10, 0.9360, "8349 8350 8351 9705 9707"
2025-09-17 13:33:01, 5, 131.20, 115.10, 0.9360, "8349 8350 8351 9730 9732"
2025-09-17 13:33:02, 5, 140.00, 115.10, 0.9360, "8349 8350 8351 9755 9757"
2025-09-17 13:33:02, 5, 146.70, 115.10, 0.9360, "8349 8350 8351 9780 9782"
2025-09-17 13:33:03, 5, 137.50, 115.10, 0.9360, "8349 8350 8351 9805 9807"
2025-09-17 13:33:04, 5, 131.20, 115.10, 0.9360, "8349 8350 8351 9830 9832"
2025-09-17 13:33:05, 5, 146.70, 115.10, 0.9360, "8349 8350 8351 9855 9857"
2025-09-17 13:33:05, 5, 140.00, 115.10, 0.9360, "8349 8350 8351 9880 9882"
2025-09-17 13:33:06, 5, 140.00, 115.10, 0.9360, "8349 8350 8351 9905 9907"
2025-09-17 13:33:07, 5, 140.00, 115.10, 0.9360, "8349 8350 8351 9930 9932"
2025-09-17 13:33:08, 5, 133.30, 115.47, 0.9360, "8349 8350 8351 9955 9957"
2025-09-17 13:33:08, 5, 133.30, 116.22, 0.9360, "8349 8350 8351 9980 9982"
2025-09-17 13:33:09, 5, 133.30, 116.47, 0.9360, "8349 8350 8351 10005 10007"
2025-09-17 13:33:10, 5, 126.70, 116.72, 0.9360, "8349 8350 8351 10030 10032"
2025-09-17 13:33:11, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10055 10057"
2025-09-17 13:33:11, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10080 10082"
2025-09-17 13:33:12, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10105 10107"
2025-09-17 13:33:13, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10130 10132"
2025-09-17 13:33:14, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10155 10157"
2025-09-17 13:33:14, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10180 10182"
2025-09-17 13:33:15, 5, 0.00, 116.72, 0.8700, "8349 8350 8351 10205 10207"
2025-09-17 13:33:16, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10230 10232"
2025-09-17 13:33:17, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10255 10257"
2025-09-17 13:33:17, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10280 10282"
2025-09-17 13:33:18, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10305 10307"
2025-09-17 13:33:19, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10330 10332"
2025-09-17 13:33:20, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10355 10357"
2025-09-17 13:33:20, 5, 0.00, 116.72, 0.8700, "8349 8350 8351 10380 10382"
2025-09-17 13:33:21, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10405 10407"
2025-09-17 13:33:22, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10430 10432"
2025-09-17 13:33:23, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10455 10457"
2025-09-17 13:33:23, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10480 10482"
2025-09-17 13:33:24, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10505 10507"
2025-09-17 13:33:25, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10530 10532"
2025-09-17 13:33:26, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10555 10557"
2025-09-17 13:33:26, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10580 10582"
2025-09-17 13:33:27, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10605 10607"
2025-09-17 13:33:28, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10630 10632"
2025-09-17 13:33:29, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10655 10657"
2025-09-17 13:33:29, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10680 10682"
2025-09-17 13:33:30, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10705 10707"
2025-09-17 13:33:31, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10730 10732"
2025-09-17 13:33:31, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10755 10757"
2025-09-17 13:33:32, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10780 10782"
2025-09-17 13:33:33, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10805 10807"
2025-09-17 13:33:34, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10830 10832"
2025-09-17 13:33:34, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10855 10857"
2025-09-17 13:33:35, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10880 10882"
2025-09-17 13:33:36, 5, 6.70, 116.72, 0.9360, "8349 8350 8351 10905 10907"
2025-09-17 13:33:37, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10930 10932"
2025-09-17 13:33:37, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10955 10957"
2025-09-17 13:33:38, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 10980 10982"
2025-09-17 13:33:39, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11005 11007"
2025-09-17 13:33:40, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11030 11032"
2025-09-17 13:33:40, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11055 11057"
2025-09-17 13:33:41, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11080 11082"
2025-09-17 13:33:42, 5, 0.00, 116.72, 0.8700, "8349 8350 8351 11105 11107"
2025-09-17 13:33:43, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11130 11132"
2025-09-17 13:33:43, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11155 11157"
2025-09-17 13:33:44, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11180 11182"
2025-09-17 13:33:45, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11205 11207"
2025-09-17 13:33:46, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11230 11232"
2025-09-17 13:33:46, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11255 11257"
2025-09-17 13:33:47, 5, 0.00, 116.72, 0.8700, "8349 8350 8351 11280 11282"
2025-09-17 13:33:48, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11305 11307"
2025-09-17 13:33:49, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11330 11332"
2025-09-17 13:33:49, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11355 11357"
2025-09-17 13:33:50, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11390 11392"
2025-09-17 13:33:51, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11415 11417"
2025-09-17 13:33:52, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11440 11442"
2025-09-17 13:33:52, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11465 11467"
2025-09-17 13:33:53, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11504 11506"
2025-09-17 13:33:54, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11529 11531"
2025-09-17 13:33:54, 5, 0.00, 116.72, 0.9360, "8349 8350 8351 11554 11556"
