Timestamp, ProcCount, CPU_Total (%), Memory_Total (MB), Voltage (V), PIDs
2025-09-17 18:32:32, 5, 0.00, 46.34, 0.7200, "1690 1691 1692 1752 1754"
2025-09-17 18:32:33, 5, 0.00, 46.34, 0.7200, "1690 1691 1692 1776 1778"
2025-09-17 18:32:33, 5, 0.00, 46.34, 0.9228, "1690 1691 1692 1801 1803"
2025-09-17 18:32:34, 5, 0.00, 46.34, 0.9228, "1690 1691 1692 1826 1828"
2025-09-17 18:32:35, 5, 0.00, 46.34, 0.9228, "1690 1691 1692 1851 1853"
2025-09-17 18:32:35, 5, 0.00, 46.34, 0.9228, "1690 1691 1692 1876 1878"
2025-09-17 18:32:36, 5, 0.00, 46.34, 0.7200, "1690 1691 1692 1901 1903"
2025-09-17 18:32:37, 5, 0.00, 46.34, 0.7200, "1690 1691 1692 1926 1928"
2025-09-17 18:32:37, 5, 66.70, 46.84, 0.9228, "1690 1691 1692 1954 1956"
2025-09-17 18:32:38, 5, 100.00, 48.84, 0.9228, "1690 1691 1692 1979 1981"
2025-09-17 18:32:39, 5, 100.00, 49.34, 0.9228, "1690 1691 1692 2004 2006"
2025-09-17 18:32:39, 5, 100.00, 50.84, 0.9228, "1690 1691 1692 2029 2031"
2025-09-17 18:32:40, 5, 106.70, 52.34, 0.9228, "1690 1691 1692 2054 2056"
2025-09-17 18:32:41, 5, 100.00, 53.84, 0.9228, "1690 1691 1692 2079 2081"
2025-09-17 18:32:42, 5, 106.70, 54.84, 0.9228, "1690 1691 1692 2104 2106"
2025-09-17 18:32:42, 5, 100.00, 55.84, 0.9228, "1690 1691 1692 2129 2131"
2025-09-17 18:32:43, 5, 100.00, 57.34, 0.9228, "1690 1691 1692 2154 2156"
2025-09-17 18:32:44, 5, 100.00, 58.84, 0.9228, "1690 1691 1692 2179 2181"
2025-09-17 18:32:44, 5, 100.00, 60.34, 0.9228, "1690 1691 1692 2204 2206"
2025-09-17 18:32:45, 5, 93.80, 61.84, 0.9228, "1690 1691 1692 2229 2231"
2025-09-17 18:32:46, 5, 100.00, 63.34, 0.9228, "1690 1691 1692 2254 2256"
2025-09-17 18:32:46, 5, 100.00, 64.34, 0.9228, "1690 1691 1692 2279 2281"
2025-09-17 18:32:47, 5, 100.00, 66.34, 0.9228, "1690 1691 1692 2304 2306"
2025-09-17 18:32:48, 5, 100.00, 67.34, 0.9228, "1690 1691 1692 2329 2331"
2025-09-17 18:32:48, 5, 100.00, 68.84, 0.9228, "1690 1691 1692 2354 2356"
2025-09-17 18:32:49, 5, 106.70, 70.84, 0.9228, "1690 1691 1692 2379 2381"
2025-09-17 18:32:50, 5, 93.30, 71.84, 0.9228, "1690 1691 1692 2404 2406"
2025-09-17 18:32:50, 5, 100.00, 73.84, 0.9228, "1690 1691 1692 2429 2431"
2025-09-17 18:32:51, 5, 100.00, 74.84, 0.9228, "1690 1691 1692 2454 2456"
