Timestamp, ProcCount, CPU_Total (%), Memory_Total (MB), Voltage (V), PIDs
2025-09-15 19:45:32, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23613 23616"
2025-09-15 19:45:32, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23638 23640"
2025-09-15 19:45:33, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23663 23665"
2025-09-15 19:45:34, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23688 23690"
2025-09-15 19:45:35, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23713 23715"
2025-09-15 19:45:35, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23738 23740"
2025-09-15 19:45:36, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23771 23773"
2025-09-15 19:45:37, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23796 23798"
2025-09-15 19:45:38, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23821 23823"
2025-09-15 19:45:38, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23846 23848"
2025-09-15 19:45:39, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23871 23873"
2025-09-15 19:45:40, 5, 0.00, 46.83, 0.8700, "23580 23581 23582 23896 23898"
2025-09-15 19:45:41, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23921 23923"
2025-09-15 19:45:41, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23946 23948"
2025-09-15 19:45:42, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23971 23973"
2025-09-15 19:45:43, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 23996 23998"
2025-09-15 19:45:44, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24021 24023"
2025-09-15 19:45:44, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24046 24048"
2025-09-15 19:45:45, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24071 24073"
2025-09-15 19:45:46, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24096 24098"
2025-09-15 19:45:47, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24121 24123"
2025-09-15 19:45:47, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24146 24148"
2025-09-15 19:45:48, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24171 24173"
2025-09-15 19:45:49, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24196 24198"
2025-09-15 19:45:49, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24221 24223"
2025-09-15 19:45:50, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24246 24248"
2025-09-15 19:45:51, 5, 0.00, 46.83, 0.8700, "23580 23581 23582 24271 24273"
2025-09-15 19:45:52, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24296 24298"
2025-09-15 19:45:52, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24321 24323"
2025-09-15 19:45:53, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24346 24348"
2025-09-15 19:45:54, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24371 24373"
2025-09-15 19:45:55, 5, 0.00, 46.83, 0.9360, "23580 23581 23582 24396 24398"
2025-09-15 19:45:55, 5, 213.30, 115.08, 0.9360, "23580 23581 23582 24421 24423"
2025-09-15 19:45:56, 5, 131.20, 115.33, 0.9360, "23580 23581 23582 24446 24448"
2025-09-15 19:45:57, 5, 146.70, 115.58, 0.9360, "23580 23581 23582 24471 24473"
2025-09-15 19:45:58, 5, 140.00, 115.71, 0.9360, "23580 23581 23582 24496 24498"
2025-09-15 19:45:59, 5, 146.70, 115.71, 0.9360, "23580 23581 23582 24521 24523"
2025-09-15 19:45:59, 5, 137.50, 115.83, 0.9360, "23580 23581 23582 24546 24548"
2025-09-15 19:46:00, 5, 140.00, 115.83, 0.9360, "23580 23581 23582 24571 24573"
2025-09-15 19:46:01, 5, 137.50, 115.83, 0.9360, "23580 23581 23582 24596 24598"
2025-09-15 19:46:02, 5, 137.50, 115.83, 0.9360, "23580 23581 23582 24621 24623"
2025-09-15 19:46:03, 5, 137.50, 115.96, 0.9360, "23580 23581 23582 24646 24648"
2025-09-15 19:46:03, 5, 140.00, 115.96, 0.9360, "23580 23581 23582 24671 24673"
2025-09-15 19:46:04, 5, 146.70, 115.96, 0.9360, "23580 23581 23582 24696 24698"
2025-09-15 19:46:05, 5, 137.50, 115.96, 0.9360, "23580 23581 23582 24721 24723"
2025-09-15 19:46:06, 5, 146.70, 115.96, 0.9360, "23580 23581 23582 24746 24748"
2025-09-15 19:46:07, 5, 146.70, 115.96, 0.9360, "23580 23581 23582 24771 24773"
2025-09-15 19:46:07, 5, 153.30, 115.96, 0.9360, "23580 23581 23582 24796 24798"
2025-09-15 19:46:08, 5, 143.80, 116.08, 0.9360, "23580 23581 23582 24821 24823"
2025-09-15 19:46:09, 5, 125.00, 116.08, 0.9360, "23580 23581 23582 24846 24848"
2025-09-15 19:46:10, 5, 137.50, 116.08, 0.9360, "23580 23581 23582 24871 24873"
2025-09-15 19:46:10, 5, 146.70, 116.21, 0.9360, "23580 23581 23582 24896 24898"
2025-09-15 19:46:11, 5, 137.50, 116.21, 0.9360, "23580 23581 23582 24922 24924"
2025-09-15 19:46:12, 5, 146.70, 116.21, 0.9360, "23580 23581 23582 24947 24949"
2025-09-15 19:46:13, 5, 146.70, 116.21, 0.9360, "23580 23581 23582 24972 24974"
2025-09-15 19:46:14, 5, 137.50, 116.21, 0.9360, "23580 23581 23582 24997 24999"
2025-09-15 19:46:14, 5, 140.00, 116.21, 0.9360, "23580 23581 23582 25022 25024"
2025-09-15 19:46:15, 5, 140.00, 116.21, 0.9360, "23580 23581 23582 25047 25049"
2025-09-15 19:46:16, 5, 133.30, 116.21, 0.9360, "23580 23581 23582 25072 25074"
2025-09-15 19:46:17, 5, 137.50, 116.21, 0.9360, "23580 23581 23582 25097 25099"
2025-09-15 19:46:18, 5, 153.30, 116.21, 0.9360, "23580 23581 23582 25122 25124"
2025-09-15 19:46:18, 5, 137.50, 116.21, 0.9360, "23580 23581 23582 25147 25149"
2025-09-15 19:46:19, 5, 146.70, 116.21, 0.9360, "23580 23581 23582 25172 25174"
2025-09-15 19:46:20, 5, 140.00, 116.33, 0.9360, "23580 23581 23582 25197 25199"
2025-09-15 19:46:21, 5, 137.50, 116.33, 0.9360, "23580 23581 23582 25222 25224"
2025-09-15 19:46:22, 5, 146.70, 116.33, 0.9360, "23580 23581 23582 25247 25249"
2025-09-15 19:46:22, 5, 143.80, 116.33, 0.9360, "23580 23581 23582 25272 25274"
2025-09-15 19:46:23, 5, 137.50, 116.33, 0.9360, "23580 23581 23582 25297 25299"
2025-09-15 19:46:24, 5, 146.70, 116.33, 0.9360, "23580 23581 23582 25322 25324"
2025-09-15 19:46:25, 5, 140.00, 116.33, 0.9360, "23580 23581 23582 25347 25349"
2025-09-15 19:46:26, 5, 146.70, 116.33, 0.9360, "23580 23581 23582 25372 25374"
2025-09-15 19:46:26, 5, 137.50, 116.33, 0.9360, "23580 23581 23582 25397 25399"
2025-09-15 19:46:27, 5, 153.30, 116.33, 0.9360, "23580 23581 23582 25422 25424"
2025-09-15 19:46:28, 5, 146.70, 116.33, 0.9360, "23580 23581 23582 25447 25449"
2025-09-15 19:46:29, 5, 143.80, 116.33, 0.9360, "23580 23581 23582 25472 25474"
2025-09-15 19:46:30, 5, 137.50, 116.33, 0.9360, "23580 23581 23582 25497 25499"
2025-09-15 19:46:30, 5, 146.70, 116.33, 0.9360, "23580 23581 23582 25522 25524"
2025-09-15 19:46:31, 5, 146.70, 116.33, 0.9360, "23580 23581 23582 25547 25549"
2025-09-15 19:46:32, 5, 146.70, 116.33, 0.9360, "23580 23581 23582 25572 25574"
2025-09-15 19:46:33, 5, 143.80, 116.33, 0.9360, "23580 23581 23582 25597 25599"
2025-09-15 19:46:34, 5, 140.00, 116.33, 0.9360, "23580 23581 23582 25622 25624"
2025-09-15 19:46:34, 5, 146.70, 116.33, 0.9360, "23580 23581 23582 25647 25649"
2025-09-15 19:46:35, 5, 140.00, 116.33, 0.9360, "23580 23581 23582 25672 25674"
2025-09-15 19:46:36, 5, 146.70, 116.33, 0.9360, "23580 23581 23582 25697 25699"
2025-09-15 19:46:37, 5, 131.20, 116.33, 0.9360, "23580 23581 23582 25722 25724"
2025-09-15 19:46:38, 5, 143.80, 116.33, 0.9360, "23580 23581 23582 25747 25749"
2025-09-15 19:46:38, 5, 137.50, 116.33, 0.9360, "23580 23581 23582 25772 25774"
2025-09-15 19:46:39, 5, 146.70, 116.33, 0.9360, "23580 23581 23582 25797 25799"
2025-09-15 19:46:40, 5, 140.00, 116.33, 0.9360, "23580 23581 23582 25822 25824"
