Timestamp, ProcCount, CPU_Total (%), Memory_Total (MB), Voltage (V), PIDs
2025-09-16 18:35:25, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36587 36589"
2025-09-16 18:35:26, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36611 36613"
2025-09-16 18:35:27, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36636 36638"
2025-09-16 18:35:27, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36661 36663"
2025-09-16 18:35:28, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36686 36688"
2025-09-16 18:35:29, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36713 36715"
2025-09-16 18:35:30, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36744 36746"
2025-09-16 18:35:30, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36769 36771"
2025-09-16 18:35:31, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36794 36796"
2025-09-16 18:35:32, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36819 36821"
2025-09-16 18:35:33, 5, 0.00, 46.71, 0.8700, "36563 36564 36565 36844 36846"
2025-09-16 18:35:33, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36869 36871"
2025-09-16 18:35:34, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36894 36896"
2025-09-16 18:35:35, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36919 36921"
2025-09-16 18:35:36, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36944 36946"
2025-09-16 18:35:36, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36969 36971"
2025-09-16 18:35:37, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 36994 36996"
2025-09-16 18:35:38, 5, 0.00, 46.71, 0.8700, "36563 36564 36565 37019 37021"
2025-09-16 18:35:39, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37044 37046"
2025-09-16 18:35:39, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37069 37071"
2025-09-16 18:35:40, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37094 37096"
2025-09-16 18:35:41, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37119 37121"
2025-09-16 18:35:42, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37144 37146"
2025-09-16 18:35:42, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37169 37171"
2025-09-16 18:35:43, 5, 0.00, 46.71, 0.8700, "36563 36564 36565 37194 37196"
2025-09-16 18:35:44, 5, 0.00, 46.71, 0.8700, "36563 36564 36565 37219 37221"
2025-09-16 18:35:45, 5, 0.00, 46.71, 0.8700, "36563 36564 36565 37244 37246"
2025-09-16 18:35:45, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37269 37271"
2025-09-16 18:35:46, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37294 37296"
2025-09-16 18:35:47, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37319 37321"
2025-09-16 18:35:48, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37344 37346"
2025-09-16 18:35:48, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37369 37371"
2025-09-16 18:35:49, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37394 37396"
2025-09-16 18:35:50, 5, 0.00, 46.71, 0.8700, "36563 36564 36565 37419 37421"
2025-09-16 18:35:51, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37444 37446"
2025-09-16 18:35:51, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37469 37471"
2025-09-16 18:35:52, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37494 37496"
2025-09-16 18:35:53, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37519 37521"
2025-09-16 18:35:54, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37544 37546"
2025-09-16 18:35:54, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37569 37571"
2025-09-16 18:35:55, 5, 0.00, 46.71, 0.8700, "36563 36564 36565 37594 37596"
2025-09-16 18:35:56, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37619 37621"
2025-09-16 18:35:57, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37644 37646"
2025-09-16 18:35:57, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37669 37671"
2025-09-16 18:35:58, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37694 37696"
2025-09-16 18:35:59, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37719 37721"
2025-09-16 18:36:00, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37744 37746"
2025-09-16 18:36:00, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37769 37771"
2025-09-16 18:36:01, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37794 37796"
2025-09-16 18:36:02, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37819 37821"
2025-09-16 18:36:03, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37844 37846"
2025-09-16 18:36:03, 5, 0.00, 46.71, 0.9360, "36563 36564 36565 37869 37871"
