Timestamp, ProcCount, CPU_Total (%), Memory_Total (MB), Voltage (V), PIDs
2025-09-02 17:41:10, 5, 100.00, 171.45, 0.9249, "105354 105355 105356 105363 105365"
2025-09-02 17:41:10, 5, 93.80, 171.45, 0.9249, "105354 105355 105356 105387 105389"
2025-09-02 17:41:11, 5, 100.00, 171.95, 0.9249, "105354 105355 105356 105411 105413"
2025-09-02 17:41:12, 5, 100.00, 171.95, 0.9249, "105354 105355 105356 105435 105437"
2025-09-02 17:41:13, 5, 100.00, 171.95, 0.9249, "105354 105355 105356 105459 105461"
2025-09-02 17:41:13, 5, 100.00, 171.95, 0.9249, "105354 105355 105356 105483 105485"
2025-09-02 17:41:14, 5, 100.00, 171.95, 0.9249, "105354 105355 105356 105507 105509"
2025-09-02 17:41:15, 5, 100.00, 171.95, 0.9249, "105354 105355 105356 105531 105533"
2025-09-02 17:41:15, 5, 100.00, 171.95, 0.9249, "105354 105355 105356 105555 105557"
2025-09-02 17:41:16, 5, 100.00, 171.95, 0.9249, "105354 105355 105356 105579 105581"
2025-09-02 17:41:17, 5, 100.00, 171.95, 0.9249, "105354 105355 105356 105603 105605"
2025-09-02 17:41:17, 5, 100.00, 171.95, 0.9249, "105354 105355 105356 105627 105629"
2025-09-02 17:41:18, 5, 100.00, 172.45, 0.9249, "105354 105355 105356 105651 105653"
2025-09-02 17:41:19, 5, 100.00, 172.45, 0.9249, "105354 105355 105356 105675 105677"
2025-09-02 17:41:19, 5, 93.80, 172.45, 0.9249, "105354 105355 105356 105699 105701"
2025-09-02 17:41:20, 5, 100.00, 172.45, 0.9249, "105354 105355 105356 105723 105725"
2025-09-02 17:41:21, 5, 100.00, 172.45, 0.9249, "105354 105355 105356 105747 105749"
2025-09-02 17:41:22, 5, 100.00, 172.45, 0.9249, "105354 105355 105356 105771 105773"
2025-09-02 17:41:22, 5, 100.00, 172.45, 0.9249, "105354 105355 105356 105795 105797"
2025-09-02 17:41:23, 5, 106.70, 172.45, 0.9249, "105354 105355 105356 105819 105821"
2025-09-02 17:41:24, 5, 106.70, 172.45, 0.9249, "105354 105355 105356 105843 105845"
2025-09-02 17:41:24, 5, 100.00, 172.45, 0.9249, "105354 105355 105356 105867 105869"
2025-09-02 17:41:25, 5, 100.00, 172.95, 0.9249, "105354 105355 105356 105891 105893"
2025-09-02 17:41:26, 5, 100.00, 172.95, 0.9249, "105354 105355 105356 105915 105917"
2025-09-02 17:41:26, 5, 106.70, 172.95, 0.9249, "105354 105355 105356 105939 105941"
