Timestamp, ProcCount, CPU_Total (%), Memory_Total (MB), Voltage (V), PIDs
2025-09-02 21:24:55, 5, 0.00, 46.95, 0.8149, "167334 167335 167336 167356 167358"
2025-09-02 21:24:55, 5, 0.00, 46.95, 0.7200, "167334 167335 167336 167380 167382"
2025-09-02 21:24:56, 5, 0.00, 48.45, 0.9249, "167334 167335 167336 167404 167406"
2025-09-02 21:24:57, 5, 0.00, 48.45, 0.9249, "167334 167335 167336 167428 167430"
2025-09-02 21:24:58, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167452 167454"
2025-09-02 21:24:58, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167476 167478"
2025-09-02 21:24:59, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167500 167502"
2025-09-02 21:25:00, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167524 167526"
2025-09-02 21:25:00, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167548 167550"
2025-09-02 21:25:01, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167572 167574"
2025-09-02 21:25:02, 5, 0.00, 48.95, 0.7200, "167334 167335 167336 167596 167598"
2025-09-02 21:25:02, 5, 0.00, 48.95, 0.8149, "167334 167335 167336 167620 167622"
2025-09-02 21:25:03, 5, 33.30, 48.95, 0.9249, "167334 167335 167336 167644 167646"
2025-09-02 21:25:04, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167668 167670"
2025-09-02 21:25:04, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167692 167694"
2025-09-02 21:25:05, 5, 26.70, 48.95, 0.9249, "167334 167335 167336 167716 167718"
2025-09-02 21:25:06, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167740 167742"
2025-09-02 21:25:06, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167764 167766"
2025-09-02 21:25:07, 5, 26.70, 48.95, 0.9249, "167334 167335 167336 167788 167790"
2025-09-02 21:25:08, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167812 167814"
2025-09-02 21:25:08, 5, 0.00, 48.95, 0.8149, "167334 167335 167336 167836 167838"
2025-09-02 21:25:09, 5, 26.70, 48.95, 0.9249, "167334 167335 167336 167860 167862"
2025-09-02 21:25:10, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167884 167886"
2025-09-02 21:25:10, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167908 167910"
2025-09-02 21:25:11, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167932 167934"
2025-09-02 21:25:12, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167956 167958"
2025-09-02 21:25:13, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 167980 167982"
2025-09-02 21:25:13, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168004 168006"
2025-09-02 21:25:14, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168028 168030"
2025-09-02 21:25:15, 5, 0.00, 48.95, 0.7200, "167334 167335 167336 168052 168054"
2025-09-02 21:25:15, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168076 168078"
2025-09-02 21:25:16, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168100 168102"
2025-09-02 21:25:17, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168124 168126"
2025-09-02 21:25:17, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168148 168150"
2025-09-02 21:25:18, 5, 6.70, 48.95, 0.9249, "167334 167335 167336 168172 168174"
2025-09-02 21:25:19, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168196 168198"
2025-09-02 21:25:19, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168220 168222"
2025-09-02 21:25:20, 5, 26.70, 48.95, 0.9249, "167334 167335 167336 168244 168246"
2025-09-02 21:25:21, 5, 0.00, 48.95, 0.7200, "167334 167335 167336 168268 168270"
2025-09-02 21:25:21, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168292 168294"
2025-09-02 21:25:22, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168316 168318"
2025-09-02 21:25:23, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168340 168342"
2025-09-02 21:25:23, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168364 168366"
2025-09-02 21:25:24, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168388 168390"
2025-09-02 21:25:25, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168412 168414"
2025-09-02 21:25:26, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168436 168438"
2025-09-02 21:25:26, 5, 0.00, 48.95, 0.8149, "167334 167335 167336 168460 168462"
2025-09-02 21:25:27, 5, 0.00, 48.95, 0.7200, "167334 167335 167336 168484 168486"
2025-09-02 21:25:28, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168508 168510"
2025-09-02 21:25:28, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168532 168534"
2025-09-02 21:25:29, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168556 168558"
2025-09-02 21:25:30, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168580 168582"
2025-09-02 21:25:30, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168604 168606"
2025-09-02 21:25:31, 5, 13.30, 48.95, 0.9249, "167334 167335 167336 168628 168630"
2025-09-02 21:25:32, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168652 168654"
2025-09-02 21:25:32, 5, 0.00, 48.95, 0.8149, "167334 167335 167336 168676 168678"
2025-09-02 21:25:33, 5, 40.00, 48.95, 0.9249, "167334 167335 167336 168700 168702"
2025-09-02 21:25:34, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168724 168726"
2025-09-02 21:25:34, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168748 168750"
2025-09-02 21:25:35, 5, 26.70, 48.95, 0.9249, "167334 167335 167336 168772 168774"
2025-09-02 21:25:36, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168796 168798"
2025-09-02 21:25:36, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168820 168822"
2025-09-02 21:25:37, 5, 26.70, 48.95, 0.9249, "167334 167335 167336 168844 168846"
2025-09-02 21:25:38, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168868 168870"
2025-09-02 21:25:38, 5, 0.00, 48.95, 0.7200, "167334 167335 167336 168892 168894"
2025-09-02 21:25:39, 5, 13.30, 48.95, 0.9249, "167334 167335 167336 168916 168918"
2025-09-02 21:25:40, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168940 168942"
2025-09-02 21:25:41, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168964 168966"
2025-09-02 21:25:41, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 168988 168990"
2025-09-02 21:25:42, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169012 169014"
2025-09-02 21:25:43, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169036 169038"
2025-09-02 21:25:43, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169060 169062"
2025-09-02 21:25:44, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169084 169086"
2025-09-02 21:25:45, 5, 0.00, 48.95, 0.7200, "167334 167335 167336 169108 169110"
2025-09-02 21:25:45, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169132 169134"
2025-09-02 21:25:46, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169157 169159"
2025-09-02 21:25:47, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169181 169183"
2025-09-02 21:25:47, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169205 169207"
2025-09-02 21:25:48, 5, 18.80, 48.95, 0.9249, "167334 167335 167336 169229 169231"
2025-09-02 21:25:49, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169253 169255"
2025-09-02 21:25:49, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169277 169279"
2025-09-02 21:25:50, 5, 26.70, 48.95, 0.9249, "167334 167335 167336 169301 169303"
2025-09-02 21:25:51, 5, 0.00, 48.95, 0.8287, "167334 167335 167336 169325 169327"
2025-09-02 21:25:51, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169349 169351"
2025-09-02 21:25:52, 5, 26.70, 48.95, 0.9249, "167334 167335 167336 169373 169375"
2025-09-02 21:25:53, 5, 0.00, 48.95, 0.9249, "167334 167335 167336 169397 169399"
